return_id,issued_id,return_book_name,return_date,return_book_isbn
RS101,IS101,NULL,2023-06-06,
RS102,IS105,NULL,2023-06-07,
RS103,IS103,NULL,2023-08-07,
RS104,IS106,NULL,2024-05-01,
RS105,IS107,NULL,2024-05-03,
RS106,IS108,NULL,2024-05-05,
RS107,IS109,NULL,2024-05-07,
RS108,IS110,NULL,2024-05-09,
RS109,IS111,NULL,2024-05-11,
RS110,IS112,NULL,2024-05-13,
RS111,IS113,NULL,2024-05-15,
RS112,IS114,NULL,2024-05-17,
RS113,IS115,NULL,2024-05-19,
RS114,IS116,NULL,2024-05-21,
RS115,IS117,NULL,2024-05-23,
RS116,IS118,NULL,2024-05-25,
RS117,IS119,NULL,2024-05-27,
RS118,IS120,NULL,2024-05-29,
